CONSTITUENCY,WINNER,PARTY,STATE,YEAR
SRIKAKULAM,RAJGOPALARAO BODDEPALLI,INC,Andhra Pradesh,1977
PARVATHIPURAM (ST),VYRICHORLA KISHORE CHANDRA SURYANARAYANA DEO,INC,Andhra Pradesh,1977
BOBBILI,PUSAPATI VIJAYRAMA GAJAPATHI RAJU,INC,Andhra Pradesh,1977
VISAKHAPATNAM,DRONAMRAJU SATYANARAYANA,INC,Andhra Pradesh,1977
BHADRACHALAM (ST),RADHA BAI ANANDA RAO,INC,Andhra Pradesh,1977
ANAKAPALLI,APPALANAIDU S. R. A. S.,INC,Andhra Pradesh,1977
KAKINADA,SANJEEVIRAO M. S.,INC,Andhra Pradesh,1977
RAJAHMUNDRY,PATTABHIRAMA RAO S. B. P.,INC,Andhra Pradesh,1977
AMALAPURAM (SC),KUSUMA KRISHNA MURTY,INC,Andhra Pradesh,1977
NARASAPUR,ALLURI SUBHASH CHANDRA BOSE,INC,Andhra Pradesh,1977
ELURU,KOMMAREDDY SURYANARAYANA,INC,Andhra Pradesh,1977
MACHILIPATNAM,ANKINEEDU MAGANTI,INC,Andhra Pradesh,1977
VIJAYAWADA,GODEY MURAHARI,INC,Andhra Pradesh,1977
TENALI,MEDURI NAGESWARA RAO,INC,Andhra Pradesh,1977
GUNTUR,KOTHA RAGHURAMAIAH,INC,Andhra Pradesh,1977
BAPATLA,ANKINEEDU PRASADA RAO PAMULAPATI,INC,Andhra Pradesh,1977
NARASARAOPET,BRAHMANANDA REDDY KASU,INC,Andhra Pradesh,1977
ONGOLE,PULI VENKATA REDDY,INC,Andhra Pradesh,1977
NELLORE (SC),KAMAKSHAIAH DODDAVARAPU,INC,Andhra Pradesh,1977
TIRUPATHI (SC),BALAKRISHNAIAH TAMBURA,INC,Andhra Pradesh,1977
CHITTOOR,P. RAJAGOPAL NAIDU,INC,Andhra Pradesh,1977
RAJAMPET,POTHURAJU PARTHASARATHI,INC,Andhra Pradesh,1977
CUDDAPAH,KANDALA OBUL REDDY,INC,Andhra Pradesh,1977
HINDUPUR,P. BAYAPA REDDY,INC,Andhra Pradesh,1977
ANANTAPUR,DARUR PULLAIAH,INC,Andhra Pradesh,1977
KURNOOL,K. VIJAYA BHASKARA REDDY,INC,Andhra Pradesh,1977
NANDYAL,NEELAM SANJEEVA REDDY,BLD,Andhra Pradesh,1977
NAGARKURNOOL (SC),MAILALA BHEESHMA DEV,INC,Andhra Pradesh,1977
MAHABUBNAGAR,J. RAMESHWARA RAO,INC,Andhra Pradesh,1977
HYDERABAD,K. S. NARAYANA,INC,Andhra Pradesh,1977
SECUNDERABAD,M. M. HASHIM,INC,Andhra Pradesh,1977
SIDDIPET (SC),G.VENKATASWAMY,INC,Andhra Pradesh,1977
MEDAK,MALLIKARJUN,INC,Andhra Pradesh,1977
NIZAMABAD,MUDAGANTI RAM GOPAL REDDY,INC,Andhra Pradesh,1977
ADILABAD,G. NARSIMHA REDDY,INC,Andhra Pradesh,1977
PEDDAPALLI (SC),V. TULSIRAM,INC,Andhra Pradesh,1977
KARIMNAGAR,M. SATYANARAYAN RAO,INC,Andhra Pradesh,1977
HANAMKONDA,P. V. NARSIMHA RAO,INC,Andhra Pradesh,1977
WARANGAL,S. B. GIRI,INC,Andhra Pradesh,1977
KHAMMAM,JALAGAM KONDALA RAO,INC,Andhra Pradesh,1977
NALGONDA,MOHD. ABDUL LATEEF,INC,Andhra Pradesh,1977
MIRYALGUDA,G. S. REDDY,INC,Andhra Pradesh,1977
ARUNACHAL WEST,RINCHIN KHANDU KHIMRE,INC,Arunachal Pradesh,1977
ARUNACHAL EAST,BAKIN PERTIN,IND,Arunachal Pradesh,1977
KARIMGANJ (SC),NIHAR RANJAN LASKAR,INC,Assam,1977
SILCHAR,RASHIDA HAQUE CHOUDHURY,INC,Assam,1977
AUTONOMOUS DISTRICT (ST),BIREN SINGH ENGTI,INC,Assam,1977
DHUBRI,AHMMAD HOSSEN,INC,Assam,1977
KOKRAJHAR (ST),CHARAN NARZARY,IND,Assam,1977
BARPETA,ISMAIL HOSSAIN KHAN,INC,Assam,1977
GAUHATI,RENUKA DEVI BARKTAKI,BLD,Assam,1977
MANGALDOI,HIRALAL PATOWARY,BLD,Assam,1977
TEZPUR,PURNANARAYAN SINHA,BLD,Assam,1977
NOWGONG,DEV KANTA BOROOAH,INC,Assam,1977
KALIABOR,BEDABRATA BARUA,INC,Assam,1977
JORHAT,TARUN GOGOI,INC,Assam,1977
DIBRUGARH,HAREN BHUMJI,INC,Assam,1977
LAKHIMPUR,LALIT KUMAR DOLEY,INC,Assam,1977
BAGAHA (SC),JAGANNATH PRASAD,BLD,Bihar,1977
BETTIAH,FAZLUR RAHMAN,BLD,Bihar,1977
MOTIHARI,THAKUR RAMPATI SINGH,BLD,Bihar,1977
GOPALGANJ,DWARIKANATH TIWARY,BLD,Bihar,1977
SIWAN,MIRTANJAY PRASAD VERMA,BLD,Bihar,1977
MAHARAJGANJ,RAM DEO SINGH,BLD,Bihar,1977
CHAPRA,LALU PRASAD,BLD,Bihar,1977
HAJIPUR (SC),RAM VILAS PASWAN,BLD,Bihar,1977
VAISHALI,DIGVIJOY NARAIN SINGH,BLD,Bihar,1977
MUZAFFARPUR,GEORGE FERNANDES,BLD,Bihar,1977
SITAMARHI,SHYAM SUNDER DAS,BLD,Bihar,1977
SHEOHAR,THAKUR GIRJANANDAN SINGH,BLD,Bihar,1977
MADHUBANI,HUKMDEO NARAIN YADAV,BLD,Bihar,1977
JHANJHARPUR,DHANIK LAL MANDAL,BLD,Bihar,1977
DARBHANGA,SURENDRA JHA SUMAN,BLD,Bihar,1977
ROSERA (SC),RAM SEWAK HAZARI,BLD,Bihar,1977
SAMASTIPUR,KARPOORI THAKUR,BLD,Bihar,1977
BARH,SHYAM SUNDER GUPTA,BLD,Bihar,1977
BALIA,RAMAJIWAN SINGH,BLD,Bihar,1977
SAHARSA,VINAYAK PRASAD YADAV,BLD,Bihar,1977
MADHEPURA,BINDHYESHWARI PRASAD MANDAL,BLD,Bihar,1977
ARARIA (SC),MAHENDRA NARAYAN SARDAR,BLD,Bihar,1977
KISHANGANJ,HALIMUDDIN AHMED,BLD,Bihar,1977
PURNEA,LAKHAN LAL KAPOOR,BLD,Bihar,1977
KATIHAR,YUVRAJ,BLD,Bihar,1977
RAJMAHAL (ST),FATHER ANTHONI MURMU,BLD,Bihar,1977
DUMKA (ST),BATESHWAR HEMRAM,BLD,Bihar,1977
GODDA,JAGDAMBI PRASAD YADAV,BLD,Bihar,1977
BANKA,LIMAYE MADHU,BLD,Bihar,1977
BHAGALPUR,DR. RAMJI SINGH,BLD,Bihar,1977
KHAGARIA,GYANESHWAR PRASAD YADAV,BLD,Bihar,1977
MONGHYR,SHRI KRISHNA SINGH,BLD,Bihar,1977
BEGUSARAI,SHYAM NANDAN MISHRA,BLD,Bihar,1977
NALANDA,BIRENDRA PRASAD,BLD,Bihar,1977
PATNA,MAHA MAYA PRASAD SINHA,BLD,Bihar,1977
ARRAH,CHANDRADEO PRASAD VERMA,BLD,Bihar,1977
BUXAR,RAMA NAND TIWARY,BLD,Bihar,1977
SASARAM (SC),JAGIVAN RAM,BLD,Bihar,1977
BIKRAMGANJ,RAM AWADHESH SINGH,BLD,Bihar,1977
AURANGABAD,SATYENDRA NARAIN SINGH,BLD,Bihar,1977
JAHANABAD,HARI LAL PRASAD SINHA,BLD,Bihar,1977
NAWADA (SC),NATHUNI RAM,BLD,Bihar,1977
GAYA (SC),ISHWAR CHAUDHRY,BLD,Bihar,1977
CHATRA,SUKDEO PRASAD VERMA,BLD,Bihar,1977
KODARMA,RITLAL PRASAD VERMA,BLD,Bihar,1977
GIRIDIH,RAM DAS SINGH,BLD,Bihar,1977
DHANBAD,A. K. ROY,IND,Bihar,1977
HAZARIBAGH,KUNWAR BASANT NARAIN SINGH,BLD,Bihar,1977
RANCHI,RAVINDRA VERMA,BLD,Bihar,1977
JAMSHEDPUR,RUDRA PRATAP SARANGI,BLD,Bihar,1977
SINGHBHUM (ST),BAGUN SUMBRUI,JKP,Bihar,1977
KHUNTI (ST),KARIA MUNDA,BLD,Bihar,1977
LOHARDAGA (ST),LALU ORAON,BLD,Bihar,1977
PALAMAU (SC),RAMDENI RAM,BLD,Bihar,1977
PANAJI,KASAR AMRUT SHIVRAM,MAG,Goa Daman & Diu,1977
MORMUGAO,FALEIRO EDUARDO MARTINHO,INC,Goa Daman & Diu,1977
KUTCH,DAVE ANANTRAY DEVSHANKAR,BLD,Gujarat,1977
SURENDRANAGAR,AMIN RAMDAS KISHORDAS ( R. K. AMIN ),BLD,Gujarat,1977
JAMNAGAR,VINODBHAI B. SHETH,BLD,Gujarat,1977
RAJKOT,PATEL KESHUBHAI SAVDASBHAI,BLD,Gujarat,1977
PORBANDAR,PATEL DHARMASINHBHAI DAHYABHAI,BLD,Gujarat,1977
JUNAGADH,NATHWANI NARENDRA PRAGJI,BLD,Gujarat,1977
AMRELI,DWARKADAS MOHANLAL PATEL,INC,Gujarat,1977
BHAVNAGAR,PRASANNAVADAN MANILAL METHTA,BLD,Gujarat,1977
DHANDHUKA (SC),PARMAR NATAVARLAL BHAGAVANDAS,BLD,Gujarat,1977
AHMEDABAD,AHESAN JAFRI,INC,Gujarat,1977
GANDHINAGAR,PURUSHOTTAM GANESH MAVALANKAR,BLD,Gujarat,1977
MEHSANA,PATEL MANIBEN VALLABHBHAI,BLD,Gujarat,1977
PATAN (SC),CHAVDA KHEMCHANDBHAI SOMABHAI,BLD,Gujarat,1977
BANASKANTHA,CHAUDHARY MOTIBHAI RANCHHODBHAI,BLD,Gujarat,1977
SABARKANTHA,H. M. PATEL,BLD,Gujarat,1977
KAPADVANJ,VAGHELA SHANKARJI LAXMANJI,BLD,Gujarat,1977
DOHAD (ST),DAMOR SOMJIBHAI PUJABHAI,INC,Gujarat,1977
GODHRA,DESAI HITENDRABHAI KANAIYALAL,INC,Gujarat,1977
KAIRA,DESAI DHARMSINGH DADUBHAI,INC,Gujarat,1977
ANAND,AJITSINH FULSINH DABHI,INC,Gujarat,1977
CHHOTA UDAIPUR (ST),RATHAWA AMARSINH VIRIYABHAI,INC,Gujarat,1977
BARODA,GAEKWAD FATESINHRAO PRATAPSINHRAO,INC,Gujarat,1977
BROACH,PATEL AHMEDBHAI MOHMADBHAI,INC,Gujarat,1977
SURAT,DESAI MORARJI RANCHHODJI,BLD,Gujarat,1977
MANDVI (ST),GAMIT CHHITUBHAI DEVJIBHAI,INC,Gujarat,1977
BULSAR (ST),PATEL NANUBHAI NICHHABHAI,BLD,Gujarat,1977
AMBALA (SC),SURAJ BHAN,BLD,Haryana,1977
KURUKSHETRA,RAGHBIR SINGH,BLD,Haryana,1977
KARNAL,BHAGWAT DAYAL,BLD,Haryana,1977
SONEPAT,MUKHTIAR SINGH,BLD,Haryana,1977
ROHTAK,SHER SINGH,BLD,Haryana,1977
FARIDABAD,DHARAM VIR VASISHT,BLD,Haryana,1977
MAHENDRAGARH,MANOHARLAL,BLD,Haryana,1977
BHIWANI,CHANDRAWATI,BLD,Haryana,1977
HISSAR,INDER SINGH,BLD,Haryana,1977
SIRSA (SC),CHANDRAM,BLD,Haryana,1977
SIMLA (SC),BALAK RAM,BLD,Himachal Pradesh,1977
MANDI,GANGA SINGH,BLD,Himachal Pradesh,1977
KANGRA,DURGA CHAND,BLD,Himachal Pradesh,1977
HAMIRPUR,RANJIT SINGH,BLD,Himachal Pradesh,1977
BARAMULLA,ABDUL AHAD,JKN,Jammu Kashmir,1977
SRINAGAR,AKBAR JAHAN BEGAM,JKN,Jammu Kashmir,1977
ANANTNAG,MOHD. SHAFI QURESHI,INC,Jammu Kashmir,1977
LADAKH,PARVATI DEVI,INC,Jammu Kashmir,1977
UDHAMPUR,KARAN SINGH,INC,Jammu Kashmir,1977
JAMMU,THAKUR BALDEV SINGH,IND,Jammu Kashmir,1977
BIDAR (SC),SHANKARDEV BALAJI RAO,INC,Karnataka,1977
GULBARGA,SIDRAM REDDI,INC,Karnataka,1977
RAICHUR,RAJSHEKHAR MALLAPPA,INC,Karnataka,1977
KOPPAL,SIDRAMESHWARA SWAMY BASAYYA,INC,Karnataka,1977
BELLARY,K. S. VEERA BHADRAPPA,INC,Karnataka,1977
DAVANGERE,KONDAJJI BASAPPA,INC,Karnataka,1977
CHITRADURGA,K. MALLANNA,INC,Karnataka,1977
TUMKUR,K. LAKKAPPA,INC,Karnataka,1977
CHIKBALLAPUR,M. V. KRISHNAPPA,INC,Karnataka,1977
KOLAR (SC),G. Y. KRISHNAN,INC,Karnataka,1977
KANAKAPURA,M. V. CHANDRASEKHARA MURTHY,INC,Karnataka,1977
BANGALORE NORTH,C. K. JAFAR SHARIF,INC,Karnataka,1977
BANGALORE SOUTH,K. S. HEGDE,BLD,Karnataka,1977
MANDYA,K. CHICKALINGAIAH,INC,Karnataka,1977
CHAMARAJANAGAR (SC),B. RACHAIAH,INC,Karnataka,1977
MYSORE,H. D. TULSIDAS,INC,Karnataka,1977
MANGALORE,JANARDHANA POOJARI,INC,Karnataka,1977
UDUPI,T. A. PAI,INC,Karnataka,1977
HASSAN,S. NANJESHA GOWDA,BLD,Karnataka,1977
CHIKMAGALUR,D. B. CHANDRE GOWDA,INC,Karnataka,1977
SHIMOGA,A. R. BADARINARAYAN,INC,Karnataka,1977
KANARA,KADAM BALSU PURSU,INC,Karnataka,1977
DHARWAD SOUTH,MOHSIN F. H.,INC,Karnataka,1977
DHARWAD NORTH,MAHISHI SAROJINI BINDURAO,INC,Karnataka,1977
BELGAUM,KOTRASHETTI APPAYAPPA KARAVEERAPPA,INC,Karnataka,1977
CHIKKODI (SC),B. SHANKARANAND,INC,Karnataka,1977
BAGALKOT,PATIL SANGANAGOUDA BASANGOUDA,INC,Karnataka,1977
BIJAPUR,CHOUDHARI KALINGAPPA BHIMANNA,INC,Karnataka,1977
KASARAGOD,RAMACHANDRAN KADANNAPPALLY,INC,Kerala,1977
CANNANORE,C. K. CHANDRAPPAN,CPI,Kerala,1977
BADAGARA,K. P. UNNIKRISHNAN,INC,Kerala,1977
CALICUT,V. A. SEYID MUHAMMAD,INC,Kerala,1977
MANJERI,EBRAHIM SULAIMAN SAIT,MUL,Kerala,1977
PONNANI,G. M. BANATWALA,MUL,Kerala,1977
PALGHAT,A. SUNNASAHIB,INC,Kerala,1977
OTTAPALAM (SC),K. KUNHAMBU,INC,Kerala,1977
TRICHUR,K. A. RAJAN,CPI,Kerala,1977
MUKUNDAPURAM,A. C. GEORGE,INC,Kerala,1977
ERNAKULAM,HENRY AUSTIN,INC,Kerala,1977
MUVATTUPUZHA,GEORGE J. MATHEW,KEC,Kerala,1977
KOTTAYAM,SKARIAH THOMAS,KEC,Kerala,1977
IDUKKI,C. M. STEPHEN,INC,Kerala,1977
ALLEPPEY,V. M. SUDHEERAN,INC,Kerala,1977
MAVELIKARA,B. K. NAIR,INC,Kerala,1977
ADOOR (SC),P. K. KODIYAN,CPI,Kerala,1977
QUILON,N. SREEKANTAN NAIR,RSP,Kerala,1977
CHIRAYINKIL,VAYALAR RAVI,INC,Kerala,1977
TRIVANDRUM,M. N. GOVINDAN NAIR,CPI,Kerala,1977
MORENA (SC),CHHABIRAM ARGAL,BLD,Madhya Pradesh,1977
BHIND,RAGHUBIR SINGH MACHHAND,BLD,Madhya Pradesh,1977
GWALIOR,NARAYAN KRISHNA SHEJWALKER,BLD,Madhya Pradesh,1977
GUNA,MADHAV RAO SCINDIA,IND,Madhya Pradesh,1977
SAGAR (SC),NARMADA PRASAD RAI,BLD,Madhya Pradesh,1977
KHAJURAHO,LAXMI NARAIN NAYAK,BLD,Madhya Pradesh,1977
DAMOH,NARENDRA SINGH YADVENDRA SINGH,BLD,Madhya Pradesh,1977
SATNA,SUKHENDRA SINGH,BLD,Madhya Pradesh,1977
REWA,YAMMUNA PRASAD,BLD,Madhya Pradesh,1977
SIDHI,SURYA NARAYAN SINGH,BLD,Madhya Pradesh,1977
SHAHDOL (ST),DALPAT SINGH PARASTE,BLD,Madhya Pradesh,1977
SURGUJA (ST),LARANG SAI,BLD,Madhya Pradesh,1977
RAIGARH (ST),NARHARI PRASAD SUKHDEO SAI,BLD,Madhya Pradesh,1977
JANJGIR,MADAN BHAIYA,BLD,Madhya Pradesh,1977
BILASPUR,NIRANJAN PRASAD KESHARWANI,BLD,Madhya Pradesh,1977
SARANGARH (SC),GOVIND RAM MIRI,BLD,Madhya Pradesh,1977
RAIPUR,PURUSHOTTAM LAL KAUSHIK,BLD,Madhya Pradesh,1977
MAHASAMUND,BRIJLAL VERMA,BLD,Madhya Pradesh,1977
KANKER (ST),AGHANSINGH,BLD,Madhya Pradesh,1977
BASTAR (ST),DRIGPAL SHAH KESHRI SHAH,BLD,Madhya Pradesh,1977
DURG,MOHAN BHAIYA,BLD,Madhya Pradesh,1977
RAJNANDGAON,MADAN TIWARY,BLD,Madhya Pradesh,1977
BALAGHAT,KACHARU LAL HEMRAJ JAIN,RPK,Madhya Pradesh,1977
MANDLA (ST),SHYAMLAL DHURVE,BLD,Madhya Pradesh,1977
JABALPUR,SHARAD YADAV,BLD,Madhya Pradesh,1977
SEONI,NIRMAL CHANDRA JAIN,BLD,Madhya Pradesh,1977
CHHINDWARA,GARGISHANKAR RAMKRISHNA MISHRA,INC,Madhya Pradesh,1977
BETUL,SUBHASH CHANDRA AHUJA,BLD,Madhya Pradesh,1977
HOSHANGABAD,KAMATH HARI VISHNU,BLD,Madhya Pradesh,1977
BHOPAL,ARIF BEG,BLD,Madhya Pradesh,1977
VIDISHA,RAGHAVJI,BLD,Madhya Pradesh,1977
RAJGARH,PANDIT VASHANT KUMAR RAM KRISHNA,BLD,Madhya Pradesh,1977
SHAJAPUR (SC),PHOOL CHAND VERMA,BLD,Madhya Pradesh,1977
KHANDWA,PARMANAND THAKURDAS GOVINDJIWALA,BLD,Madhya Pradesh,1977
KHARGONE,RAMESHWAR PATIDAR,BLD,Madhya Pradesh,1977
DHAR (ST),BHARAT SINGH GULAB SINGH,BLD,Madhya Pradesh,1977
INDORE,KALYAN JAIN,BLD,Madhya Pradesh,1977
UJJAIN (SC),HUKUMCHAND KACHHAWAY,BLD,Madhya Pradesh,1977
JHABUA (ST),BHAGIRATH BHAWAR,BLD,Madhya Pradesh,1977
MANDSAUR,LAXMINARAYAN PANDEY,BLD,Madhya Pradesh,1977
RAJAPUR,MADHU DANDAVATE,BLD,Maharastra,1977
RATNAGIRI,PARULEKAR BAPUSAHEB,BLD,Maharastra,1977
KOLABA,DINKAR BALU PATIL,PWP,Maharastra,1977
BOMBAY SOUTH,RAJADA RATANSINGH GOKULDAS,BLD,Maharastra,1977
BOMBAY SOUTH CENTR,AL KAMBLE BAPU CHANDRASEN,BLD,Maharastra,1977
BOMBAY NORTH CENTR,AL AHILYA P. RANGNEKAR,CPM,Maharastra,1977
BOMBAY NORTH EAST,SUBRAMANIAM SWAMY,BLD,Maharastra,1977
BOMBAY NORTH WEST,RAM JETHMALANI,BLD,Maharastra,1977
BOMBAY NORTH,GORE MRINAL KESHAV,BLD,Maharastra,1977
THANE,MHALGI RAMCHANDRA KASHINATH,BLD,Maharastra,1977
DAHANU (ST),KOM LAHANU SHIDAVA,CPM,Maharastra,1977
NASHIK,HANDE VITHALRAO GANPATRAO,BLD,Maharastra,1977
MALEGAON (ST),MAHALE HARI SHANKAR,BLD,Maharastra,1977
DHULIA,PATIL VIJAYKUMAR NAVAL,INC,Maharastra,1977
NANDURBAR (ST),NAIK SURUPSINGH HARIYA,INC,Maharastra,1977
ERANDOL,PATIL SONUSING DHANSING,BLD,Maharastra,1977
JALGAON,BOROLE YASHWANT MANSARAM,BLD,Maharastra,1977
BULDHANA (SC),GAWAI DAULAT GUNAJI,RPK,Maharastra,1977
AKOLA,SATHE VASANTRAO PURUSHOTTAM,INC,Maharastra,1977
WASHIM,NAIK VASANTRAO PHULSING,INC,Maharastra,1977
AMRAVATI,BONDE NANA MAHADEO,INC,Maharastra,1977
RAMTEK,BARVE JATIRAMJI CHAITRAMJI,INC,Maharastra,1977
NAGPUR,AWARI GEV MANCHARSHA,INC,Maharastra,1977
BHANDARA,MANKAR LAXMANRAO BISANJI,BLD,Maharastra,1977
CHIMUR,THAKUR KRISHNARAO DAGOJI,INC,Maharastra,1977
CHANDRAPUR,RAJE VISHVESHVARRAO,BLD,Maharastra,1977
WARDHA,GODE SANTOSHRAO VYANKATRAO,INC,Maharastra,1977
YEOTMAL,JAWADE SHRIDHARRAO NATTHOBAJI,INC,Maharastra,1977
HINGOLI,PATIL CHANDRAKANT RAMKRISHNA,BLD,Maharastra,1977
NANDED,DHONDGE KESHAVRAO SHANKARRAO,PWP,Maharastra,1977
PARBHANI,DESHMUKH SHESHRAO APPARAO,PWP,Maharastra,1977
JALNA,PUNDALIK HARI DANVE,BLD,Maharastra,1977
AURANGABAD,BAPU KALDATE,BLD,Maharastra,1977
BEED,BURANDE GANGADHAR APPA,CPM,Maharastra,1977
LATUR,PATIL UDDHAVRAO SAHEBRRAO,PWP,Maharastra,1977
OSMANABAD (SC),SHRANGARE TUKARAM SADASHIV,INC,Maharastra,1977
SOLAPUR,DAMANI SURAJRATAN FATEHCHAND,INC,Maharastra,1977
PANDHARPUR (SC),THORAT SANDIPAN BHAGWAN,INC,Maharastra,1977
AHMEDNAGAR,SHINDE ANNASAHEB PANDURANG,INC,Maharastra,1977
KOPARGAON,VIKHE EKNATHRAO VITHALRAO,INC,Maharastra,1977
KHED,ANNASAHEB MAGAR,INC,Maharastra,1977
PUNE,MOHAN DHARIA,BLD,Maharastra,1977
BARAMATI,SAMBHAJIRAO KAKADE,BLD,Maharastra,1977
SATARA,CHAVAN YASHVANTRAO BALWANTRAO,INC,Maharastra,1977
KARAD,CHAVAN PREMLABAI DAJISAHEB,INC,Maharastra,1977
SANGLI,GOTKHINDE GANAPATRAO TUKARAM,INC,Maharastra,1977
ICHALKARANJI,MANE RAJARAM ALIAS BALASAHEB SHANKAR RAO,INC,Maharastra,1977
KOLHAPUR,DESAI DAJIBA BALWANTRAO,PWP,Maharastra,1977
INNER MANIPUR,N. TOMBI SINGH,INC,Manipur,1977
OUTER MANIPUR (ST),YANGMASO SHAIZA,INC,Manipur,1977
SHILLONG,HOPING STONE LYNGDOH,IND,Meghalaya,1977
TURA,PURNA A. SANGMA,INC,Meghalaya,1977
MIZORAM,R. ROTHUAMA,IND,Mizoram,1977
NAGALAND,RANO M. SHAIZA,UDF,Nagaland,1977
MAYURBHANJ (ST),CHANDRA MOHAN SINHA,BLD,Orissa,1977
BALASORE,SAMARENDRA KUNDU,BLD,Orissa,1977
BHADRAK (SC),BAIRAGI JENA,BLD,Orissa,1977
JAJPUR (SC),RAMA CHANDRA MALLICK,BLD,Orissa,1977
KENDRAPARA,BIJAYANANDA PATTANAYAK,BLD,Orissa,1977
CUTTACK,SARAT KUMAR KAR,BLD,Orissa,1977
JAGATSINGHPUR,PRADYUMNA KISHORE BAL,BLD,Orissa,1977
PURI,PADMACHARAN SAMANTASINHAR,BLD,Orissa,1977
BHUBANESWAR,SIVAJI PATNAIK,CPM,Orissa,1977
ASKA,RAMA CHANDRA RATH,INC,Orissa,1977
BERHAMPUR,JAGANNATH RAO R.,INC,Orissa,1977
KORAPUT (ST),GIRIDHAR GOMANGO,INC,Orissa,1977
NOWRANGPUR (ST),KHAGAPATI PRADHANI,INC,Orissa,1977
KALAHANDI,PRATAP KESHARI DEO,IND,Orissa,1977
PHULBANI (SC),SRIBATCHA DIGAL,BLD,Orissa,1977
BOLANGIR,AINTHU SAHOO,BLD,Orissa,1977
SAMBALPUR,GANANATH PRADHAN,BLD,Orissa,1977
DEOGARH,PABITRA MOHAN PRADHAN,BLD,Orissa,1977
DHENKANAL,DEBENDRA SATPATHY,BLD,Orissa,1977
SUNDARGARH (ST),DEBANANDA AMAT,BLD,Orissa,1977
KEONJHAR (ST),GOVINDA MUNDA,BLD,Orissa,1977
GURDASPUR,YAGYA DATT,BLD,Punjab,1977
AMRITSAR,BALDEV PARKASH,BLD,Punjab,1977
TARN TARAN,MOHAN SINGH TUR,SAD,Punjab,1977
JULLUNDUR,IQBAL SINGH DHILLON,SAD,Punjab,1977
PHILLAUR (SC),BHAGAT RAM,CPM,Punjab,1977
HOSHIARPUR,BALBIR SINGH,BLD,Punjab,1977
ROPAR (SC),BASANT SINGH,SAD,Punjab,1977
PATIALA,GURCHARAN SING TOHRA,SAD,Punjab,1977
LUDHIANA,JAGDEV SINGH TALWANDI,SAD,Punjab,1977
SANGRUR,SURJIT SINGH,SAD,Punjab,1977
BHATINDA (SC),DHANNA SINGH,SAD,Punjab,1977
FARIDKOT,PARKASH SINGH,SAD,Punjab,1977
FEROZEPUR,MOHINDER SINGH SAYANWALA,SAD,Punjab,1977
GANGANAGAR (SC),BEGA RAM,BLD,Rajasthan,1977
BIKANER,HARI RAM MAKKASAR,BLD,Rajasthan,1977
CHURU,DAULAT RAM,BLD,Rajasthan,1977
JHUNJHUNU,KANHAIYA LAL,BLD,Rajasthan,1977
SIKAR,JAGDISH PRASAD MATHUR,BLD,Rajasthan,1977
JAIPUR,SATISH CHANDER,BLD,Rajasthan,1977
DAUSA,NATHU SINGH,BLD,Rajasthan,1977
ALWAR,RAMJI LAL YADAV,BLD,Rajasthan,1977
BHARATPUR,RAM KISHAN,BLD,Rajasthan,1977
BAYANA (SC),SHYAM SUNDER LAL,BLD,Rajasthan,1977
SAWAI MADHOPUR (ST),MEETHA LAL,BLD,Rajasthan,1977
AJMER,SRIKARAN SHARDA,BLD,Rajasthan,1977
TONK (SC),RAM KANWAR,BLD,Rajasthan,1977
KOTA,KRISHNA KUMAR GOYAL,BLD,Rajasthan,1977
JHALAWAR,CHATURBHUJ,BLD,Rajasthan,1977
BANSWARA (ST),HEERA BHAI,BLD,Rajasthan,1977
SALUMBER (ST),IALIYA,BLD,Rajasthan,1977
UDAIPUR,BHANU KUMAR SHASTRI,BLD,Rajasthan,1977
CHITTORGARH,SHYAM SUNDER,BLD,Rajasthan,1977
BHILWARA,ROOPLAL SOMANI,BLD,Rajasthan,1977
PALI,AMRIT NEHATA,BLD,Rajasthan,1977
JALORE (SC),HUKAM RAM,BLD,Rajasthan,1977
BARMER,TAN SINGH,BLD,Rajasthan,1977
JODHPUR,RANCHHORDAS GATTANI,BLD,Rajasthan,1977
NAGAUR,NATHU RAM,INC,Rajasthan,1977
SIKKIM,CHATRA BAHADUR CHHETRI,INC,Sikkim,1977
MADRAS NORTH,ASAI THAMBI A.V.P.,DMK,Tamil Nadu,1977
MADRAS CENTRAL,RAMACHANDRAN P.,NCO,Tamil Nadu,1977
MADRAS SOUTH,VENKATARAMAN R.,INC,Tamil Nadu,1977
SRIPERUMBUDUR (SC),JAGANATHAN S.,ADK,Tamil Nadu,1977
CHENGALPATTU,MOHANARANGAM R.,ADK,Tamil Nadu,1977
ARAKKONAM,ALAGESAN O.V.,INC,Tamil Nadu,1977
VELLORE,DHANDAYUTHAPANI V.,NCO,Tamil Nadu,1977
TIRUPPATTUR,VISWANATHAN C.N.,DMK,Tamil Nadu,1977
WANDIWASH,VENUGOPAL GOUNDER,ADK,Tamil Nadu,1977
TINDIVANAM,LAKSHMINARAYANAN M.R.,INC,Tamil Nadu,1977
CUDDALORE,BHUVARAHAN G.,INC,Tamil Nadu,1977
CHIDAMBARAM (SC),MURUGESAN A.,ADK,Tamil Nadu,1977
DHARMAPURI,RAMAMURTHY K.,INC,Tamil Nadu,1977
KRISHNAGIRI,PERIASAMY P.V.,ADK,Tamil Nadu,1977
RASIPURAM (SC),DEVARAJAN B.,INC,Tamil Nadu,1977
SALEM,KANNAN P.,ADK,Tamil Nadu,1977
